DATE,valor,name
2012-05-23,286.54548387096776,_03.01.001
2012-05-24,286.56709677419354,_03.01.001
2012-05-25,286.5887096774194,_03.01.001
2012-05-26,286.6103225806452,_03.01.001
2012-05-27,286.63193548387096,_03.01.001
2012-05-28,286.6535483870968,_03.01.001
2012-05-29,286.6751612903226,_03.01.001
2012-05-30,286.6967741935484,_03.01.001
2012-05-31,286.7183870967742,_03.01.001
2012-06-01,286.74,_03.01.001
2012-06-02,286.74966666666666,_03.01.001
2012-06-03,286.75933333333336,_03.01.001
2012-06-04,286.769,_03.01.001
2012-06-05,286.77866666666665,_03.01.001
2012-06-06,286.78833333333336,_03.01.001
2012-06-07,286.798,_03.01.001
2012-06-08,286.80766666666665,_03.01.001
2012-06-09,286.81733333333335,_03.01.001
2012-06-10,286.827,_03.01.001
2012-06-11,286.83666666666664,_03.01.001
2012-06-12,286.84633333333335,_03.01.001
2012-06-13,286.856,_03.01.001
2012-06-14,286.86566666666664,_03.01.001
2012-06-15,286.87533333333334,_03.01.001
2012-06-16,286.885,_03.01.001
2012-06-17,286.89466666666664,_03.01.001
2012-06-18,286.90433333333334,_03.01.001
2012-06-19,286.914,_03.01.001
2012-06-20,286.92366666666663,_03.01.001
2012-06-21,286.93333333333334,_03.01.001
2012-06-22,286.943,_03.01.001
2012-06-23,286.95266666666663,_03.01.001
2012-06-24,286.96233333333333,_03.01.001
2012-06-25,286.972,_03.01.001
2012-06-26,286.9816666666666,_03.01.001
2012-06-27,286.99133333333333,_03.01.001
2012-06-28,287.001,_03.01.001
2012-06-29,287.0106666666666,_03.01.001
2012-06-30,287.0203333333333,_03.01.001
2012-07-01,287.03,_03.01.001
2012-07-02,287.0374193548387,_03.01.001
2012-07-03,287.0448387096774,_03.01.001
2012-07-04,287.0522580645161,_03.01.001
2012-07-05,287.05967741935484,_03.01.001
2012-07-06,287.06709677419354,_03.01.001
2012-07-07,287.07451612903225,_03.01.001
2012-07-08,287.08193548387095,_03.01.001
2012-07-09,287.08935483870965,_03.01.001
2012-07-10,287.09677419354836,_03.01.001
2012-07-11,287.10419354838706,_03.01.001
2012-07-12,287.11161290322576,_03.01.001
2012-07-13,287.1190322580645,_03.01.001
2012-07-14,287.1264516129032,_03.01.001
2012-07-15,287.1338709677419,_03.01.001
2012-07-16,287.14129032258063,_03.01.001
2012-07-17,287.14870967741933,_03.01.001
2012-07-18,287.15612903225804,_03.01.001
2012-07-19,287.16354838709674,_03.01.001
2012-07-20,287.17096774193544,_03.01.001
2012-07-21,287.1783870967742,_03.01.001
2012-07-22,287.1858064516129,_03.01.001
2012-07-23,287.1932258064516,_03.01.001
2012-07-24,287.2006451612903,_03.01.001
2012-07-25,287.208064516129,_03.01.001
2012-07-26,287.2154838709677,_03.01.001
2012-07-27,287.2229032258064,_03.01.001
2012-07-28,287.2303225806451,_03.01.001
2012-07-29,287.2377419354839,_03.01.001
2012-07-30,287.2451612903226,_03.01.001
2012-07-31,287.2525806451613,_03.01.001
2012-08-01,287.26,_03.01.001
2012-08-02,287.26129032258063,_03.01.001
2012-08-03,287.2625806451613,_03.01.001
2012-08-04,287.2638709677419,_03.01.001
2012-08-05,287.26516129032257,_03.01.001
2012-08-06,287.2664516129032,_03.01.001
2012-08-07,287.26774193548385,_03.01.001
2012-08-08,287.2690322580645,_03.01.001
2012-08-09,287.27032258064514,_03.01.001
2012-08-10,287.2716129032258,_03.01.001
2012-08-11,287.27290322580643,_03.01.001
2012-08-12,287.2741935483871,_03.01.001
2012-08-13,287.2754838709677,_03.01.001
2012-08-14,287.27677419354836,_03.01.001
2012-08-15,287.278064516129,_03.01.001
2012-08-16,287.27935483870965,_03.01.001
2012-08-17,287.28064516129035,_03.01.001
2012-08-18,287.281935483871,_03.01.001
2012-08-19,287.28322580645164,_03.01.001
2012-08-20,287.2845161290323,_03.01.001
2012-08-21,287.2858064516129,_03.01.001
2012-08-22,287.28709677419357,_03.01.001
2012-08-23,287.2883870967742,_03.01.001
2012-08-24,287.28967741935486,_03.01.001
2012-08-25,287.2909677419355,_03.01.001
2012-08-26,287.29225806451615,_03.01.001
2012-08-27,287.2935483870968,_03.01.001
2012-08-28,287.29483870967744,_03.01.001
2012-08-29,287.2961290322581,_03.01.001
2012-08-30,287.2974193548387,_03.01.001
2012-08-31,287.29870967741937,_03.01.001
2012-09-01,287.3,_03.01.001
2012-09-02,287.30133333333333,_03.01.001
2012-09-03,287.30266666666665,_03.01.001
2012-09-04,287.30400000000003,_03.01.001
2012-09-05,287.30533333333335,_03.01.001
2012-09-06,287.3066666666667,_03.01.001
2012-09-07,287.308,_03.01.001
2012-09-08,287.3093333333333,_03.01.001
2012-09-09,287.3106666666667,_03.01.001
2012-09-10,287.312,_03.01.001
2012-09-11,287.31333333333333,_03.01.001
2012-09-12,287.31466666666665,_03.01.001
2012-09-13,287.316,_03.01.001
2012-09-14,287.31733333333335,_03.01.001
2012-09-15,287.3186666666667,_03.01.001
2012-09-16,287.32,_03.01.001
2012-09-17,287.3213333333333,_03.01.001
2012-09-18,287.32266666666663,_03.01.001
2012-09-19,287.324,_03.01.001
2012-09-20,287.32533333333333,_03.01.001
2012-09-21,287.32666666666665,_03.01.001
2012-09-22,287.328,_03.01.001
2012-09-23,287.3293333333333,_03.01.001
2012-09-24,287.3306666666667,_03.01.001
2012-09-25,287.332,_03.01.001
2012-09-26,287.3333333333333,_03.01.001
2012-09-27,287.33466666666664,_03.01.001
2012-09-28,287.33599999999996,_03.01.001
2012-09-29,287.33733333333333,_03.01.001
2012-09-30,287.33866666666665,_03.01.001
2012-10-01,287.34,_03.01.001
2012-10-02,287.2296774193548,_03.01.001
2012-10-03,287.1193548387097,_03.01.001
2012-10-04,287.0090322580645,_03.01.001
2012-10-05,286.89870967741933,_03.01.001
2012-10-06,286.78838709677416,_03.01.001
2012-10-07,286.67806451612904,_03.01.001
2012-10-08,286.56774193548387,_03.01.001
2012-10-09,286.4574193548387,_03.01.001
2012-10-10,286.3470967741935,_03.01.001
2012-10-11,286.2367741935484,_03.01.001
2012-10-12,286.1264516129032,_03.01.001
2012-10-13,286.01612903225805,_03.01.001
2012-10-14,285.9058064516129,_03.01.001
2012-10-15,285.79548387096776,_03.01.001
2012-10-16,285.6851612903226,_03.01.001
2012-10-17,285.5748387096774,_03.01.001
2012-10-18,285.46451612903223,_03.01.001
2012-10-19,285.3541935483871,_03.01.001
2012-10-20,285.24387096774194,_03.01.001
2012-10-21,285.13354838709677,_03.01.001
2012-10-22,285.0232258064516,_03.01.001
2012-10-23,284.9129032258065,_03.01.001
2012-10-24,284.8025806451613,_03.01.001
2012-10-25,284.6922580645161,_03.01.001
2012-10-26,284.58193548387095,_03.01.001
