date,obs_flow,name
2011-12-04,1.546,1 Peralejos
2011-12-05,1.546,1 Peralejos
2011-12-06,1.546,1 Peralejos
2011-12-07,1.546,1 Peralejos
2011-12-08,1.546,1 Peralejos
2011-12-09,1.546,1 Peralejos
2011-12-10,1.546,1 Peralejos
2011-12-11,1.461,1 Peralejos
2011-12-12,1.461,1 Peralejos
2011-12-13,1.461,1 Peralejos
2011-12-14,1.461,1 Peralejos
2011-12-15,1.461,1 Peralejos
2011-12-16,1.461,1 Peralejos
2011-12-17,1.461,1 Peralejos
2011-12-18,1.461,1 Peralejos
2011-12-19,1.461,1 Peralejos
2011-12-20,1.461,1 Peralejos
2011-12-21,1.461,1 Peralejos
2011-12-22,1.376,1 Peralejos
2011-12-23,1.376,1 Peralejos
2011-12-24,1.376,1 Peralejos
2011-12-25,1.376,1 Peralejos
2011-12-26,1.376,1 Peralejos
2011-12-27,1.376,1 Peralejos
2011-12-28,1.376,1 Peralejos
2011-12-29,1.376,1 Peralejos
2011-12-30,1.291,1 Peralejos
2011-12-31,1.291,1 Peralejos
2012-01-01,1.291,1 Peralejos
2012-01-02,1.291,1 Peralejos
2012-01-03,1.291,1 Peralejos
2012-01-04,1.291,1 Peralejos
2012-01-05,1.291,1 Peralejos
2012-01-06,1.291,1 Peralejos
2012-01-07,1.291,1 Peralejos
2012-01-08,1.291,1 Peralejos
2012-01-09,1.291,1 Peralejos
2012-01-10,1.205,1 Peralejos
2012-01-11,1.205,1 Peralejos
2012-01-12,1.205,1 Peralejos
2012-01-13,1.205,1 Peralejos
2012-01-14,1.205,1 Peralejos
2012-01-15,1.205,1 Peralejos
2012-01-16,1.291,1 Peralejos
2012-01-17,1.205,1 Peralejos
2012-01-18,1.205,1 Peralejos
2012-01-19,1.205,1 Peralejos
2012-01-20,1.205,1 Peralejos
2012-01-21,1.205,1 Peralejos
2012-01-22,1.205,1 Peralejos
2012-01-23,1.205,1 Peralejos
2012-01-24,1.205,1 Peralejos
2012-01-25,1.205,1 Peralejos
2012-01-26,1.205,1 Peralejos
2012-01-27,1.205,1 Peralejos
2012-01-28,1.205,1 Peralejos
2012-01-29,1.205,1 Peralejos
2012-01-30,1.12,1 Peralejos
2012-01-31,1.12,1 Peralejos
2012-02-01,1.12,1 Peralejos
2012-02-02,1.12,1 Peralejos
2012-02-03,1.12,1 Peralejos
2012-02-04,1.12,1 Peralejos
2012-02-05,1.205,1 Peralejos
2012-02-06,1.12,1 Peralejos
2012-02-07,1.12,1 Peralejos
2012-02-08,1.12,1 Peralejos
2012-02-09,1.12,1 Peralejos
2012-02-10,1.12,1 Peralejos
2012-02-11,1.12,1 Peralejos
2012-02-12,1.12,1 Peralejos
2012-02-13,1.12,1 Peralejos
2012-02-14,1.12,1 Peralejos
2012-02-15,1.035,1 Peralejos
2012-02-16,1.035,1 Peralejos
2012-02-17,1.035,1 Peralejos
2012-02-18,1.035,1 Peralejos
2012-02-19,1.035,1 Peralejos
2012-02-20,1.035,1 Peralejos
2012-02-21,1.035,1 Peralejos
2012-02-22,1.035,1 Peralejos
2012-02-23,1.035,1 Peralejos
2012-02-24,1.035,1 Peralejos
2012-02-25,1.035,1 Peralejos
2012-02-26,1.035,1 Peralejos
2012-02-27,1.035,1 Peralejos
2012-02-28,1.035,1 Peralejos
2012-02-29,1.035,1 Peralejos
2012-03-01,1.035,1 Peralejos
2012-03-02,1.035,1 Peralejos
2012-03-03,1.035,1 Peralejos
