name,value,group,weight
qf3247,1.018,streamflowe,7.79342
qf3248,1.018,streamflowe,7.79342
qf3249,1.222,streamflowd,8.11156
qf3250,1.12,streamflowd,8.11156
qf3251,1.12,streamflowd,8.11156
qf3252,1.222,streamflowd,8.11156
qf3253,1.12,streamflowd,8.11156
qf3254,0.916,streamflowe,7.79342
qf3255,1.324,streamflowd,8.11156
qf3256,1.222,streamflowd,8.11156
qf3257,1.12,streamflowd,8.11156
qf3258,1.018,streamflowe,7.79342
qf3259,0.916,streamflowe,7.79342
qf3260,0.916,streamflowe,7.79342
qf3261,0.814,streamflowe,7.79342
qf3262,0.814,streamflowe,7.79342
qf3263,0.775,streamflowe,7.79342
qf3264,0.775,streamflowe,7.79342
qf3265,0.775,streamflowe,7.79342
qf3266,0.775,streamflowe,7.79342
qf3267,0.775,streamflowe,7.79342
qf3268,0.775,streamflowe,7.79342
qf3269,0.916,streamflowe,7.79342
qf3270,1.018,streamflowe,7.79342
qf3271,1.222,streamflowd,8.11156
qf3272,1.12,streamflowd,8.11156
qf3273,1.018,streamflowe,7.79342
qf3274,0.916,streamflowe,7.79342
qf3275,0.916,streamflowe,7.79342
qf3276,0.814,streamflowe,7.79342
qf3277,0.814,streamflowe,7.79342
qf3278,0.814,streamflowe,7.79342
qf3279,0.814,streamflowe,7.79342
qf3280,0.814,streamflowe,7.79342
qf3281,0.775,streamflowe,7.79342
qf3282,0.814,streamflowe,7.79342
qf3283,0.814,streamflowe,7.79342
qf3284,0.916,streamflowe,7.79342
qf3285,0.775,streamflowe,7.79342
qf3286,0.775,streamflowe,7.79342
qf3287,0.775,streamflowe,7.79342
qh1827,3.745,streamflowa,1.87704
qh1828,3.484,streamflowa,1.87704
qh1829,3.484,streamflowa,1.87704
qh1830,3.224,streamflowa,1.87704
qh1831,3.224,streamflowa,1.87704
qh1832,3.224,streamflowa,1.87704
qh1833,3.224,streamflowa,1.87704
qh1834,3.224,streamflowa,1.87704
qh1835,4.005,streamflowa,1.87704
qh1836,6.767,streamflowa,1.87704
qh1837,7.449,streamflowa,1.87704
qh1838,7.806,streamflowa,1.87704
