name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa2232,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.329792,0.0833076,0.1865,0.6646,0.246484,0.4131,0.4554
qa2233,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.324272,0.0814975,0.1747,0.6615,0.242775,0.405769,0.4585
qa2234,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.318063,0.0804821,0.1791,0.6469,0.237581,0.398545,0.4731
qa2235,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.313117,0.0796817,0.1737,0.6473,0.233435,0.392799,0.4727
qa2236,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.307781,0.079312,0.1703,0.6369,0.228469,0.387093,0.4831
qa2237,1.035,0,1.035,1.035,1.035,1.035,0.303198,0.0771384,0.1695,0.6366,0.22606,0.380336,0.3984
qa2238,1.035,0,1.035,1.035,1.035,1.035,0.343846,0.0741518,0.1996,0.6304,0.269694,0.417998,0.4046
qa2250,1.035,0,1.035,1.035,1.035,1.035,0.721546,0.10961,0.4954,0.9874,0.611936,0.831156,0.0476
qa2251,1.035,0,1.035,1.035,1.035,1.035,0.701253,0.105489,0.4595,0.9878,0.595764,0.806742,0.0472
qa2252,1.035,0,1.035,1.035,1.035,1.035,0.673797,0.0989104,0.4429,0.9493,0.574887,0.772707,0.0857
qa2253,1.035,0,1.035,1.035,1.035,1.035,0.649732,0.0932809,0.4364,0.9055,0.556451,0.743013,0.1295
qa2254,1.035,0,1.035,1.035,1.035,1.035,0.627108,0.0911377,0.4074,0.8664,0.53597,0.718246,0.1686
qa2255,1.035,0,1.035,1.035,1.035,1.035,0.608902,0.088879,0.382,0.8555,0.520023,0.697781,0.1795
qa2256,1.035,0,1.035,1.035,1.035,1.035,0.591473,0.0883251,0.3749,0.8684,0.503148,0.679798,0.1666
qa2257,1.035,0,1.035,1.035,1.035,1.035,0.572264,0.0848296,0.3646,0.817,0.487434,0.657094,0.218
qa2258,1.035,0,1.035,1.035,1.035,1.035,0.554015,0.0846263,0.3234,0.781,0.469389,0.638641,0.254
qa2259,1.035,0,1.035,1.035,1.035,1.035,0.536939,0.0842426,0.3088,0.778,0.452696,0.621182,0.257
qa2260,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.520621,0.0817166,0.3112,0.7664,0.438904,0.602338,0.1836
qa2261,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.505213,0.0821599,0.2911,0.7323,0.423053,0.587373,0.2177
qa2262,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.490716,0.0800695,0.2722,0.718,0.410647,0.570785,0.232
qa2263,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.47682,0.0807813,0.2669,0.6995,0.396039,0.557601,0.2505
qa2264,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.463562,0.0804462,0.2493,0.6853,0.383116,0.544008,0.2647
qa2265,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.450538,0.0813206,0.2384,0.6832,0.369217,0.531859,0.2668
qa2266,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.440885,0.0788631,0.2447,0.6918,0.362022,0.519748,0.2582
qa2267,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.430968,0.0776412,0.2372,0.6711,0.353327,0.508609,0.2789
qa2268,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.422318,0.0786499,0.2345,0.6562,0.343668,0.500968,0.2938
qa2269,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.411325,0.0775214,0.2129,0.6561,0.333804,0.488846,0.2939
qa2270,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.404526,0.0756105,0.2098,0.6551,0.328915,0.480137,0.2949
qa2271,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.397712,0.0768636,0.2068,0.6499,0.320848,0.474576,0.3001
