real_name,manna,bedk1,bedt1,bedt2,kaq1,sy1,cn3_swf0.3a,esco0.95a,lat_ttime0a,latq_co0.2a,perco0.05a,perco0.5a,awca1,awca3,awca5,awca6,bda1,bda2,bda3,bda4,bda5,bda6,ksola1,ksola2,ksola3,ksola6,zsola4,zsola5,zsola6,lat_lena1,lat_lenb1,surq_lag
62,0.0248406,1.14791e-05,0.319733,0.179811,0.333387,0.00639191,0.8,0.182142,0.663507,0.0475756,0.404691,0.295156,0.636434,0.239083,0.085702,0.0547,1.05555,1.05352,0.893,0.963,1.16118,1.52524,35.8588,15.4092,11.7272,30.8666,704.41,963.871,1731.07,90,12.5901,1.04358
63,0.0176953,5e-06,0.494169,0.386393,0.238762,0.00416105,0.8,0.120789,0.5,0.0152618,0.680837,0.229922,0.27878,0.481089,0.0721033,0.0547,0.967095,1.67312,1.15602,0.963,1.30076,1.4069,19.5798,13.8675,21.916,90.2935,720,978.522,1735.8,90,13.2918,0.290467
64,0.0365046,6.50203e-06,0.409811,0.661265,0.0520416,0.00720999,0.8,0.0248454,0.5,0.0354608,0.263795,0.540856,0.396482,0.238926,0.0720057,0.0547,1.26844,0.926815,0.893,0.963,1.07416,1.81637,27.4441,11.0637,16.2643,7.57198,612.548,1020.33,2165.32,90,13.5174,0.646594
65,0.0195847,8.50467e-06,0.494006,0.0531517,0.143838,0.00417231,0.8,0.131095,0.5,0.0168969,0.645943,0.0943285,0.342518,0.284535,0.0552,0.0679522,1.26073,1.3137,0.893,0.963,1.29009,1.01,32.8718,8.90253,16.0756,19.6401,673.393,804.131,1909.55,90,11.3474,0.320585
66,0.0264394,1.02578e-05,0.539888,0.0928098,0.551251,0.00373317,0.713023,0.0511187,1.71323,0.149653,0.667596,0.421317,0.384203,0.385132,0.119027,0.0547,1.31071,0.881459,0.893,0.963,1.24531,1.58049,87.8075,14.3439,7.83738,40.5635,600.736,896.581,1787.88,84.8051,13.5205,0.719262
67,0.01786,9.3839e-05,0.44685,0.236651,0.256177,0.00470227,0.8,0.139773,0.508275,0.0609174,0.69456,0.314451,0.902037,0.142664,0.0767584,0.0547,0.76,1.31658,0.893,0.963,1.0568,1.60565,33.3411,37.3448,11.7109,9.23806,719.63,918.75,2084.56,90,14.1818,0.551207
68,0.0300431,9.27699e-06,0.723366,0.770057,0.244659,0.00378249,0.8,0.0730829,0.655413,0.102522,0.658111,0.163037,0.342899,0.135177,0.104777,0.0547,1.3682,1.32558,0.927988,0.963,1.01535,1.68084,16.1591,14.9962,44.052,51.8699,720,904.356,2081.2,90,11.556,1.66782
69,0.033264,6.86385e-06,0.514953,0.436624,0.193176,0.00453903,0.691848,0.371406,0.622455,0.0875828,0.512406,0.375938,0.320193,0.922025,0.0941572,0.0547,0.909105,1.29326,0.977619,0.963,1.00606,1.87255,18.1648,31.9969,9.35077,7.99629,720,995.281,2202.21,71.4211,11.3223,0.55
70,0.0169429,5.12966e-06,0.377435,0.117718,0.516898,0.00341045,0.268519,0.12059,0.591355,0.0332288,0.462596,0.361345,0.460769,0.103077,0.151607,0.0610431,1.28731,1.09915,0.893,1.00338,1.1646,1.32345,29.2043,28.5688,9.96391,28.3534,720,995.936,1821.74,90,14.829,0.345651
71,0.0180566,1.32844e-05,0.557043,0.190602,0.430632,0.00335777,0.8,0.342526,1.03013,0.109797,0.561326,0.432952,0.952122,0.225124,0.0972754,0.0547,0.76,0.920912,0.893,0.966096,1.07907,1.47145,51.0887,15.2009,16.7798,23.5925,703.193,906.828,2154.02,81.2397,14.1466,0.459936
72,0.0128734,5e-06,0.764008,0.718456,0.381894,0.00427115,0.8,0.0520174,0.5,0.0325597,0.649957,0.570906,0.988752,0.375912,0.104214,0.0547,1.34674,1.09423,1.00253,0.963,1.06966,1.56849,22.002,16.912,8.03913,6.03941,706.357,822.034,1983.25,90,10.637,0.377088
