iteration,total_runs,obs_realization,par_realization,streamflowa,streamflowb,streamflowc,streamflowd,streamflowe,gwhead
1,280,94,94,49553.4,30022,39322.8,31193.4,10213.1,8420.97
1,280,95,95,56405.1,82371.1,80973.2,56682.2,89496.7,23528.3
1,280,96,96,43615.2,45028.4,47815,30483,20040.6,8066.95
1,280,97,97,51166.9,26266.5,32594.6,24527.1,9694.16,8337.25
1,280,98,98,76162.4,27570.7,34402.3,19708.5,10886.7,41709.2
1,280,base,base,57299.1,37168.3,41184.6,27832.1,10249.2,25855
2,460,0,0,62902.9,23534.2,25788.7,14674.6,18798.3,17999.2
2,460,1,1,53121.6,22459.4,26953.4,33369.6,29627.1,12793
2,460,2,2,54424,18826.9,18998.5,12353.9,12275,8297.02
2,460,3,3,65561.6,20922.7,26935.6,20236.1,6675.03,8044.71
2,460,4,4,71190.9,10642.3,13543.8,10558.3,17170,20180.4
2,460,5,5,64571.3,18575,17726.6,10874,10530.9,6179.34
2,460,6,6,65014.3,12988.2,12314,10553.9,10162.6,8067.13
2,460,7,7,58448.5,30350.9,33894.2,17595.6,12160.7,10348.5
2,460,8,8,62679.1,18851,24355.1,12381.3,7067.04,10631.8
2,460,9,9,66605.7,10537.5,12616.6,9433.8,12159.8,19611
2,460,10,10,57760.8,19674.1,20015.2,10665.4,14444,9630.93
2,460,11,11,60480.5,25646.1,26338.8,12159.4,12993.5,10276.7
2,460,12,12,60337.7,65466,65340.8,45619,84211.5,10086.7
2,460,13,13,58110,17985.7,18622.7,9434.01,12642.3,14487.2
2,460,14,14,60914.1,21031.8,25667.6,12941.8,8927.89,15351.6
2,460,15,15,64130.7,16142.5,19977.1,9364.53,10736.2,40323
2,460,16,16,50121,20600.8,19396.6,10455.1,9915.8,13807.3
2,460,17,17,70534.8,15908.6,19966.6,9172.91,12116.1,16757.6
2,460,18,18,57823,20107.9,20783.7,14266.9,6308.08,6357.79
2,460,19,19,72586.2,14274.6,13568.1,10887,12050.6,5140.61
2,460,20,20,53006.9,22586.4,21914.1,10552.1,6843.68,11671.1
2,460,21,21,55140.3,15469.1,15719.7,17205.2,10732.4,9213.15
2,460,22,22,66296.5,30403.5,37528.2,25688.2,9288.56,7788.83
2,460,23,23,66011.8,15690.6,17284.6,12294.3,20878.6,8276.04
2,460,24,24,67190,11817.3,13267.5,8900.81,9465.76,7019.35
2,460,25,25,72417.5,16109,16161.9,9901.7,11183.8,4245.14
2,460,26,26,57459.2,25712.6,29501.3,16037.2,11799.5,6586.74
2,460,27,27,56805.6,22185.7,24217.5,13710.2,7113.1,17044.6
2,460,28,28,56918.2,24276,27394.2,16924.5,13524.8,6127.81
2,460,29,29,68739.6,15628.2,17332.1,11213.3,8736.19,5619.79
2,460,30,30,56686.7,29158,33182.9,26438.8,31922.9,15652.5
2,460,31,31,55279.1,22900.8,29835.3,13501.2,12532.7,29453.2
2,460,32,32,70534.2,21794.2,24012.2,10460.9,15811.1,14970.8
2,460,33,33,56264.5,20723.8,21221.7,9982.75,7486.94,32250.5
2,460,34,34,79917.9,11270.6,14462.4,7334.77,11148.3,10987
2,460,35,35,59696.3,31613.6,36049.7,20659.2,31266.9,17561
2,460,36,36,52937.4,20178.3,20815.1,16531.3,11245,5544.83
2,460,37,37,60129.2,24204.7,29762.1,16274.1,16106.5,5930.11
2,460,38,38,68212.7,12795.5,12953.3,7714.52,3738.82,14603.4
2,460,39,39,64678.7,18710.7,20903.6,16932,18791.6,20210.9
2,460,40,40,61932.7,18305.3,19788.6,17370.6,17696.7,22746.3
2,460,41,41,56228.8,18436.2,22803.7,12740.2,7979.6,27859.3
2,460,42,42,60733.8,23096.7,22624.6,12284.9,13230.2,53495.7
2,460,43,43,52995.7,26883.2,28567.4,16434.3,13564.6,8268.07
2,460,44,44,47061.8,31485.3,40280.2,17599.8,15953.1,6659.92
2,460,45,45,58658,49531.8,53277.1,41964.9,74954.2,12936.1
2,460,46,46,64453.4,16352.3,17212.3,8921.44,12969.4,5330.78
2,460,47,47,57694.1,18279.1,19930.3,14195.7,9878.52,6752.52
2,460,48,48,63826.5,28528.2,29303.7,17595.3,19104.2,5346.98
2,460,49,49,51516.8,60577.4,60872.9,32237.3,53919.3,8669.44
2,460,50,50,64391.2,17191.8,19480.5,12055.4,14660.2,22982.9
2,460,51,51,58266.4,32081.5,32487.1,18611.7,22275,18104.8
2,460,52,52,50076.6,35029.8,39930.4,21434.8,19391.8,21290.2
2,460,53,53,49511,25648.2,26410.1,17499.1,10629.7,9331.78
2,460,54,54,50306,54406.9,48762.6,29559.6,23686.2,6764.18
2,460,55,55,62784.9,27356.6,30960.1,22178.2,7091.31,8279.88
2,460,56,56,66116.6,12251.9,12503.1,8874.43,12973,10112.7
2,460,57,57,63354.5,23655.5,24546.8,19021.7,24321,17636.8
2,460,58,58,64056.2,16787.7,17413.9,10872.6,8385.32,6255.52
2,460,59,59,61536.7,13534.1,16741.6,13374.7,15696.1,30177.9
2,460,60,60,64493.6,25333.4,31307.1,21182.4,8220.54,6138.2
2,460,61,61,86223.9,12821.8,11791.8,7865.31,5239.98,9199.68
2,460,62,62,58295.2,21315.8,24081.2,14428.4,11693.5,11924.3
2,460,63,63,66262.4,11934.3,16450.8,8407.47,14919.2,25183.4
2,460,64,64,61033.8,24265.4,30071.8,22484.5,8372.38,35395.3
2,460,65,65,63193.9,25995.4,24602.1,12108.1,13931.9,5623.05
2,460,66,66,62251.2,25097,30325.7,26696.6,35687.5,11353
