name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa3141,2.124,4.46326e-16,2.124,2.124,2.124,2.124,0.589754,0.412254,0.0572,1.892,0.1775,1.00201,0.232
qa3142,2.124,4.46326e-16,2.124,2.124,2.124,2.124,0.581789,0.408109,0.0514,1.884,0.17368,0.989898,0.24
qa3143,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.578666,0.407211,0.0572,1.891,0.171455,0.985877,0.127
qa3144,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.574037,0.401764,0.0518,1.865,0.172273,0.975801,0.153
qa3145,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.571136,0.400656,0.0522,1.849,0.17048,0.971792,0.169
qa3146,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.565139,0.396259,0.0475,1.832,0.16888,0.961398,0.186
qa3147,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.561174,0.395033,0.0465,1.853,0.166141,0.956207,0.165
qa3148,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.55637,0.393239,0.043,1.83,0.163131,0.949609,0.188
qa3149,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.552106,0.391367,0.0406,1.851,0.160739,0.943473,0.167
qa3150,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.548478,0.387918,0.0446,1.814,0.16056,0.936396,0.204
qa3151,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.543012,0.385742,0.0433,1.818,0.15727,0.928754,0.2
qa3152,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.539962,0.383597,0.0475,1.798,0.156365,0.923559,0.22
qa3153,2.018,4.46326e-16,2.018,2.018,2.018,2.018,0.537963,0.381345,0.0442,1.806,0.156618,0.919308,0.212
qa3154,1.911,6.6949e-16,1.911,1.911,1.911,1.911,0.533937,0.37791,0.0417,1.786,0.156027,0.911847,0.125
qa3155,1.911,6.6949e-16,1.911,1.911,1.911,1.911,0.530613,0.376108,0.0399,1.771,0.154505,0.906721,0.14
