 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    31     1    31  2006      39      68  cha068               0.4886E+00     0.0000E+00     0.6141E+00     0.4886E+00     0.1173E-04     0.1173E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5246E+02     0.1537E+01     0.1422E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2721E+01     0.0000E+00     0.3420E+01     0.1799E-06     0.8946E+01     0.1710E-03     0.1537E+01     0.3959E+03
    31     1    31  2006      40      69  cha069               0.4266E+00     0.0000E+00     0.5026E+00     0.4266E+00     0.2562E+00     0.2562E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4784E+02     0.1446E+01     0.3914E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2770E+01     0.0000E+00     0.3264E+01     0.1160E-01     0.8820E+01     0.3032E-01     0.1446E+01     0.5404E+03
    31     1    31  2006      41      71  cha071               0.1391E+00     0.0000E+00     0.4884E+00     0.1391E+00     0.3660E-04     0.3660E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5036E+02     0.1496E+01     0.1622E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.8292E+00     0.0000E+00     0.2912E+01     0.8194E-06     0.7998E+01     0.1869E-03     0.1496E+01     0.3877E+03
    31     1    31  2006      42      72  cha072               0.1322E+00     0.0000E+00     0.1388E+00     0.1322E+00     0.1630E-03     0.1630E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4801E+02     0.1449E+01     0.2908E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.8536E+00     0.0000E+00     0.8965E+00     0.4061E-05     0.6768E+01     0.2343E-03     0.1449E+01     0.4691E+03
    31     1    31  2006      43      73  cha073               0.1811E-02     0.0000E+00     0.5713E-03     0.1811E-02     0.1160E-06     0.1160E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5178E+02     0.1524E+01     0.6520E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1030E-01     0.0000E+00     0.3252E-02     0.1193E-07     0.2461E+00     0.5194E-06     0.1524E+01     0.2608E+03
    31     1    31  2006      44      74  cha074               0.1819E+00     0.0000E+00     0.2191E+00     0.1819E+00     0.3052E-04     0.3052E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3705E+02     0.1219E+01     0.1259E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1808E+01     0.0000E+00     0.2179E+01     0.7875E-06     0.6287E+01     0.4374E-05     0.1219E+01     0.1784E+03
    31     1    31  2006      45      75  cha075               0.2974E+00     0.0000E+00     0.4254E+00     0.2974E+00     0.7746E-01     0.7746E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4573E+02     0.1403E+01     0.9060E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2082E+01     0.0000E+00     0.2978E+01     0.2714E-02     0.6746E+01     0.6581E-02     0.1403E+01     0.2363E+03
    31     1    31  2006      46      76  cha076               0.7758E-03     0.0000E+00     0.6478E-03     0.7758E-03     0.5915E-07     0.5915E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5344E+02     0.1556E+01     0.2550E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4189E-02     0.0000E+00     0.3498E-02     0.9136E-08     0.8143E-02     0.5543E-06     0.1556E+01     0.1086E+03
    31     1    31  2006      47      78  cha078               0.4918E-01     0.0000E+00     0.1318E+00     0.4918E-01     0.4825E-03     0.4825E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4510E+02     0.1390E+01     0.1618E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3523E+00     0.0000E+00     0.9443E+00     0.1266E-04     0.4603E+01     0.3170E-03     0.1390E+01     0.3066E+03
    31     1    31  2006      48      79  cha079               0.1380E-02     0.0000E+00     0.6933E-03     0.1380E-02     0.1931E-06     0.1931E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4857E+02     0.1460E+01     0.1184E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.8735E-02     0.0000E+00     0.4390E-02     0.3052E-07     0.2319E+00     0.1206E-05     0.1460E+01     0.1912E+03
    31     1    31  2006      49      80  cha080               0.3717E-03     0.0000E+00     0.1573E-02     0.3717E-03     0.8832E-07     0.8832E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4821E+02     0.1453E+01     0.6150E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2383E-02     0.0000E+00     0.1008E-01     0.9889E-08     0.6666E-01     0.1480E-06     0.1453E+01     0.2177E+03
    31     1    31  2006      50      81  cha081               0.7351E-02     0.0000E+00     0.1683E+00     0.7351E-02     0.1015E-01     0.1015E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2826E+02     0.1018E+01     0.3856E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1148E+00     0.0000E+00     0.2628E+01     0.4790E-03     0.2456E+01     0.2229E-02     0.1018E+01     0.1759E+03
    31     1    31  2006      51      82  cha082               0.8887E-03     0.0000E+00     0.4010E-03     0.8887E-03     0.1333E-06     0.1333E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4742E+02     0.1437E+01     0.6020E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5856E-02     0.0000E+00     0.2642E-02     0.1631E-07     0.3190E+00     0.5615E-06     0.1437E+01     0.1296E+03
    31     1    31  2006      52      84  cha084               0.1123E-02     0.0000E+00     0.1082E-02     0.1123E-02     0.1070E-06     0.1070E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4413E+02     0.1370E+01     0.4170E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.8344E-02     0.0000E+00     0.8043E-02     0.1476E-07     0.1295E+00     0.1676E-05     0.1370E+01     0.9263E+02
    31     1    31  2006      53      85  cha085               0.9726E-03     0.0000E+00     0.1115E-02     0.9726E-03     0.1291E-06     0.1291E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4202E+02     0.1326E+01     0.1107E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.7841E-02     0.0000E+00     0.8990E-02     0.2209E-07     0.1689E+00     0.8701E-06     0.1326E+01     0.1361E+03
    31     1    31  2006      54      86  cha086               0.5231E-03     0.0000E+00     0.5803E-03     0.5231E-03     0.1537E-06     0.1537E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4454E+02     0.1378E+01     0.4430E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3827E-02     0.0000E+00     0.4245E-02     0.2341E-07     0.2101E+00     0.4638E-06     0.1378E+01     0.9737E+02
    31     1    31  2006      55      87  cha087               0.9024E-01     0.0000E+00     0.8430E-01     0.9024E-01     0.4941E-06     0.4941E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4616E+02     0.1412E+01     0.9230E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6219E+00     0.0000E+00     0.5810E+00     0.2382E-07     0.3604E+01     0.4345E-03     0.1412E+01     0.2433E+03
    31     1    31  2006      56      88  cha088               0.1772E-02     0.0000E+00     0.7285E-03     0.1772E-02     0.8571E-07     0.8571E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4612E+02     0.1411E+01     0.2690E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1224E-01     0.0000E+00     0.5029E-02     0.1501E-07     0.3999E+00     0.8931E-06     0.1411E+01     0.8168E+02
